Output dir: /Users/ethanhersch/Documents/Documents/Stanford/CS234/Wordle-Agent/results_entropy_rewards
Reward modes: ['shaped', 'green_only', 'no_step_penalty', 'info_gain', 'sparse']

======================================================================
Training entropy PPO with reward mode: shaped
Loading cached pattern matrix from pattern_matrix.npy
State dim:    301
Action dim:   2315
Device:       mps
Reward mode:  shaped
Model params: 225,666
Initial beta: 10.0
Training for 3000 episodes …

Ep      20 | Rew    1.88 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 10.00 | Steps 80
Ep    1400 | Rew    1.56 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 10.02 | Steps 5316
Ep    1420 | Rew    1.60 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 10.02 | Steps 5395
Ep    1440 | Rew    1.65 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 10.02 | Steps 5474
Ep    1460 | Rew    1.64 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.02 | Steps 5552
Ep    1480 | Rew    1.48 | Win%  95.0 | Len 4.0 | Info 11.18b | Beta 10.02 | Steps 5632
Ep    1500 | Rew    1.43 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.02 | Steps 5709
Ep    1520 | Rew    1.41 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 10.02 | Steps 5782
Ep    1540 | Rew    1.59 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.02 | Steps 5860
Ep    1560 | Rew    1.61 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 10.02 | Steps 5932
Ep    1580 | Rew    1.53 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 10.02 | Steps 6004
Ep    1600 | Rew    1.51 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.02 | Steps 6080
Ep    1620 | Rew    1.47 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 10.02 | Steps 6161
Ep    1640 | Rew    1.55 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 10.02 | Steps 6240
Ep    1660 | Rew    1.64 | Win% 100.0 | Len 3.5 | Info 11.18b | Beta 10.02 | Steps 6310
Ep    1680 | Rew    1.41 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.02 | Steps 6386
Ep    1700 | Rew    1.49 | Win% 100.0 | Len 3.7 | Info 11.18b | Beta 10.02 | Steps 6460
Ep    1720 | Rew    1.43 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.02 | Steps 6535
Ep    1740 | Rew    1.56 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.02 | Steps 6610
Ep    1760 | Rew    1.62 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.02 | Steps 6686
Ep    1780 | Rew    1.59 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 10.02 | Steps 6766
Ep    1800 | Rew    1.50 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 10.02 | Steps 6845
Ep    1820 | Rew    1.59 | Win% 100.0 | Len 4.1 | Info 11.18b | Beta 10.02 | Steps 6927
Ep    1840 | Rew    1.45 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 10.02 | Steps 7008
Ep    1860 | Rew    1.62 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.02 | Steps 7085
Ep    1880 | Rew    1.67 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.02 | Steps 7161
Ep    1900 | Rew    1.64 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.02 | Steps 7239
Ep    1920 | Rew    1.49 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.02 | Steps 7315
Ep    1940 | Rew    1.51 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 10.02 | Steps 7395
Ep    1960 | Rew    1.50 | Win%  95.0 | Len 3.7 | Info 11.18b | Beta 10.02 | Steps 7469
Ep    1980 | Rew    1.56 | Win% 100.0 | Len 4.2 | Info 11.18b | Beta 10.02 | Steps 7552
Ep    2000 | Rew    1.63 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.02 | Steps 7630
Ep    2020 | Rew    1.51 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 10.03 | Steps 7703
Ep    2040 | Rew    1.51 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.03 | Steps 7781
Ep    2060 | Rew    1.74 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.03 | Steps 7856
Ep    2080 | Rew    1.73 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 10.03 | Steps 7928
Ep    2100 | Rew    1.57 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 10.03 | Steps 8000
Ep    2120 | Rew    1.62 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 10.03 | Steps 8073
Ep    2140 | Rew    1.61 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 10.03 | Steps 8152
Ep    2160 | Rew    1.67 | Win% 100.0 | Len 3.5 | Info 11.18b | Beta 10.03 | Steps 8223
Ep    2180 | Rew    1.52 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 10.03 | Steps 8302
Ep    2200 | Rew    1.47 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.03 | Steps 8379
Ep    2220 | Rew    1.63 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.03 | Steps 8455
Ep    2240 | Rew    1.57 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.03 | Steps 8531
Ep    2260 | Rew    1.69 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.03 | Steps 8609
Ep    2280 | Rew    1.60 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 10.03 | Steps 8688
Ep    2300 | Rew    1.51 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 10.03 | Steps 8769
Ep    2320 | Rew    1.56 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.03 | Steps 8845
Ep    2340 | Rew    1.65 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 10.03 | Steps 8925
Ep    2360 | Rew    1.67 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.03 | Steps 9001
Ep    2380 | Rew    1.58 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.03 | Steps 9079
Ep    2400 | Rew    1.58 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 10.03 | Steps 9152
Ep    2420 | Rew    1.53 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.03 | Steps 9230
Ep    2440 | Rew    1.53 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 10.03 | Steps 9309
Ep    2460 | Rew    1.54 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 10.03 | Steps 9388
Ep    2480 | Rew    1.56 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 10.03 | Steps 9460
Ep    2500 | Rew    1.81 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 10.03 | Steps 9539
Ep    2520 | Rew    1.67 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.03 | Steps 9617
Ep    2540 | Rew    1.55 | Win% 100.0 | Len 3.7 | Info 11.18b | Beta 10.03 | Steps 9691
Ep    2560 | Rew    1.57 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.03 | Steps 9766
Ep    2580 | Rew    1.68 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 10.03 | Steps 9839
Ep    2600 | Rew    1.52 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.03 | Steps 9916
Ep    2620 | Rew    1.48 | Win%  95.0 | Len 4.0 | Info 11.18b | Beta 10.03 | Steps 9995
Ep    2640 | Rew    1.41 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.03 | Steps 10072
Ep    2660 | Rew    1.69 | Win% 100.0 | Len 3.7 | Info 11.18b | Beta 10.03 | Steps 10146
Ep    2680 | Rew    1.62 | Win% 100.0 | Len 3.7 | Info 11.18b | Beta 10.03 | Steps 10220
Ep    2700 | Rew    1.59 | Win% 100.0 | Len 3.5 | Info 11.18b | Beta 10.03 | Steps 10290
Ep    2720 | Rew    1.61 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 10.03 | Steps 10362
Ep    2740 | Rew    1.66 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 10.03 | Steps 10435
Ep    2760 | Rew    1.76 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.03 | Steps 10511
Ep    2780 | Rew    1.66 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.03 | Steps 10587
Ep    2800 | Rew    1.53 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 10.03 | Steps 10666
Ep    2820 | Rew    1.59 | Win% 100.0 | Len 3.7 | Info 11.18b | Beta 10.03 | Steps 10740
Ep    2840 | Rew    1.54 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.03 | Steps 10818
Ep    2860 | Rew    1.57 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.03 | Steps 10895
Ep    2880 | Rew    1.57 | Win% 100.0 | Len 3.5 | Info 11.18b | Beta 10.03 | Steps 10964
Ep    2900 | Rew    1.56 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 10.03 | Steps 11037
Ep    2920 | Rew    1.52 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.03 | Steps 11112
Ep    2940 | Rew    1.50 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.03 | Steps 11187
Ep    2960 | Rew    1.63 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 10.03 | Steps 11259
Ep    2980 | Rew    1.70 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.03 | Steps 11334
Ep    3000 | Rew    1.69 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 10.03 | Steps 11407

Training done. Best win rate: 100.0%
Final beta: 10.03
Evaluating green_only using model: /Users/ethanhersch/Documents/Documents/Stanford/CS234/Wordle-Agent/results_entropy_rewards/entropy_ppo_green_only_best.pt
Loading cached pattern matrix from pattern_matrix.npy
Loaded model with beta = 10.00

RL Agent Evaluation (100 games):
  Win rate:    100.0%
  Avg rounds:  3.50
  Avg info:    11.18 bits
  Entropy agreement: 87.4% (306/350 guesses)
  1: 0  2: 4  3: 45  4: 48  5: 3  6: 0  fail: 0

======================================================================
Training entropy PPO with reward mode: no_step_penalty
Loading cached pattern matrix from pattern_matrix.npy
State dim:    301
Action dim:   2315
Device:       mps
Reward mode:  no_step_penalty
Model params: 225,666
Initial beta: 10.0
Training for 3000 episodes …

Ep      20 | Rew    2.13 | Win% 100.0 | Len 3.5 | Info 11.18b | Beta 10.00 | Steps 70
  -> New best model saved (100.0%)
Ep      40 | Rew    2.17 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 10.00 | Steps 150
Ep      60 | Rew    1.99 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 10.00 | Steps 222
Ep      80 | Rew    2.11 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.00 | Steps 299
Ep     100 | Rew    1.88 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.00 | Steps 374
Ep     120 | Rew    2.13 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 10.00 | Steps 446
Ep     140 | Rew    2.15 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.00 | Steps 522
Ep     160 | Rew    2.06 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 10.00 | Steps 602
Ep     180 | Rew    1.95 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 10.00 | Steps 675
Ep     200 | Rew    1.91 | Win% 100.0 | Len 3.3 | Info 11.18b | Beta 10.00 | Steps 741
Ep     220 | Rew    2.16 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.00 | Steps 818
Ep     240 | Rew    1.99 | Win% 100.0 | Len 3.5 | Info 11.18b | Beta 10.00 | Steps 889
Ep     260 | Rew    2.07 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.00 | Steps 966
Ep     280 | Rew    2.03 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.00 | Steps 1041
Ep     300 | Rew    2.12 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 10.00 | Steps 1114
Ep     320 | Rew    2.02 | Win% 100.0 | Len 3.5 | Info 11.18b | Beta 10.00 | Steps 1185
Ep     340 | Rew    2.08 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.00 | Steps 1260
Ep     360 | Rew    1.87 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 10.00 | Steps 1332
Ep     380 | Rew    2.14 | Win% 100.0 | Len 3.7 | Info 11.18b | Beta 10.00 | Steps 1406
Ep     400 | Rew    2.13 | Win% 100.0 | Len 3.7 | Info 11.18b | Beta 10.00 | Steps 1480
Ep     420 | Rew    2.07 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 9.99 | Steps 1553
Ep     440 | Rew    2.14 | Win% 100.0 | Len 3.7 | Info 11.18b | Beta 9.99 | Steps 1627
Ep     460 | Rew    2.22 | Win% 100.0 | Len 4.2 | Info 11.18b | Beta 9.99 | Steps 1710
Ep     480 | Rew    2.17 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 9.99 | Steps 1786
Ep     500 | Rew    1.96 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 9.99 | Steps 1864
Ep     520 | Rew    1.95 | Win% 100.0 | Len 3.5 | Info 11.18b | Beta 9.99 | Steps 1933
Ep     540 | Rew    2.20 | Win% 100.0 | Len 3.5 | Info 11.18b | Beta 9.99 | Steps 2004
Ep     560 | Rew    2.06 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 9.99 | Steps 2077
Ep     580 | Rew    2.10 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 9.99 | Steps 2158
Ep     600 | Rew    2.18 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 9.99 | Steps 2233
Ep     620 | Rew    2.06 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 9.99 | Steps 2306
Ep     640 | Rew    1.88 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 9.99 | Steps 2382
Ep     660 | Rew    2.17 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 9.99 | Steps 2459
Ep     680 | Rew    2.08 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 9.99 | Steps 2540
Ep     700 | Rew    2.10 | Win% 100.0 | Len 4.2 | Info 11.18b | Beta 9.99 | Steps 2624
Ep     720 | Rew    2.09 | Win% 100.0 | Len 3.5 | Info 11.18b | Beta 9.99 | Steps 2695
Ep     740 | Rew    2.13 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 9.99 | Steps 2768
Ep     760 | Rew    1.97 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 9.99 | Steps 2840
Ep     780 | Rew    2.02 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 9.99 | Steps 2912
Ep     800 | Rew    1.98 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 9.99 | Steps 2984
Ep     820 | Rew    2.11 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 9.99 | Steps 3060
Ep     840 | Rew    2.02 | Win% 100.0 | Len 3.7 | Info 11.18b | Beta 9.99 | Steps 3134
Ep     860 | Rew    2.05 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 9.99 | Steps 3209
Ep     880 | Rew    2.13 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 9.99 | Steps 3284
Ep     900 | Rew    2.02 | Win% 100.0 | Len 3.5 | Info 11.18b | Beta 9.99 | Steps 3355
Ep     920 | Rew    2.02 | Win% 100.0 | Len 3.4 | Info 11.18b | Beta 9.99 | Steps 3423
Ep     940 | Rew    1.98 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 9.99 | Steps 3502
Ep     960 | Rew    2.06 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 9.99 | Steps 3580
Ep     980 | Rew    2.15 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 9.99 | Steps 3656
Ep    1000 | Rew    1.99 | Win% 100.0 | Len 3.7 | Info 11.18b | Beta 9.99 | Steps 3730
Ep    1020 | Rew    2.17 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 9.99 | Steps 3807
Ep    1040 | Rew    2.25 | Win% 100.0 | Len 4.2 | Info 11.18b | Beta 9.99 | Steps 3890
Ep    1060 | Rew    2.09 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 9.99 | Steps 3967
Ep    1080 | Rew    2.23 | Win% 100.0 | Len 3.7 | Info 11.18b | Beta 9.99 | Steps 4041
Ep    1100 | Rew    2.06 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 9.99 | Steps 4113
Ep    1120 | Rew    2.10 | Win% 100.0 | Len 3.5 | Info 11.18b | Beta 9.99 | Steps 4183
Ep    1140 | Rew    2.10 | Win% 100.0 | Len 4.1 | Info 11.18b | Beta 9.99 | Steps 4265
Ep    1160 | Rew    2.20 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 9.99 | Steps 4341
Ep    1180 | Rew    2.01 | Win% 100.0 | Len 3.7 | Info 11.18b | Beta 9.99 | Steps 4415
Ep    1200 | Rew    2.02 | Win% 100.0 | Len 3.7 | Info 11.18b | Beta 9.99 | Steps 4489
Ep    1220 | Rew    2.02 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 9.99 | Steps 4569
Ep    1240 | Rew    2.09 | Win%  95.0 | Len 4.1 | Info 11.18b | Beta 9.98 | Steps 4651
Ep    1260 | Rew    1.97 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 9.98 | Steps 4729
Ep    1280 | Rew    2.01 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 9.98 | Steps 4804
Ep    1300 | Rew    2.03 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 9.98 | Steps 4876
Ep    1320 | Rew    2.15 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 9.98 | Steps 4955
Ep    1340 | Rew    2.15 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 9.98 | Steps 5033
Ep    1360 | Rew    1.96 | Win% 100.0 | Len 3.7 | Info 11.18b | Beta 9.98 | Steps 5107
Ep    1380 | Rew    2.22 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 9.98 | Steps 5183
Ep    1400 | Rew    2.20 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 9.98 | Steps 5258
Ep    1420 | Rew    1.94 | Win% 100.0 | Len 3.5 | Info 11.18b | Beta 9.98 | Steps 5328
Ep    1440 | Rew    2.06 | Win%  95.0 | Len 3.9 | Info 11.18b | Beta 9.98 | Steps 5406
Ep    1460 | Rew    2.03 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 9.98 | Steps 5485
Ep    1480 | Rew    2.10 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 9.98 | Steps 5566
Ep    1500 | Rew    2.18 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 9.98 | Steps 5646
Ep    1520 | Rew    2.09 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 9.98 | Steps 5721
Ep    1540 | Rew    2.21 | Win% 100.0 | Len 3.7 | Info 11.18b | Beta 9.98 | Steps 5795
Ep    1560 | Rew    2.09 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 9.98 | Steps 5874
Ep    1580 | Rew    2.08 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 9.98 | Steps 5947
Ep    1600 | Rew    1.97 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 9.98 | Steps 6025
Ep    1620 | Rew    2.12 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 9.98 | Steps 6103
Ep    1640 | Rew    2.14 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 9.98 | Steps 6178
Ep    1660 | Rew    2.15 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 9.98 | Steps 6251
Ep    1680 | Rew    2.11 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 9.98 | Steps 6327
Ep    1700 | Rew    1.96 | Win% 100.0 | Len 3.5 | Info 11.18b | Beta 9.98 | Steps 6398
Ep    1720 | Rew    2.07 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 9.98 | Steps 6470
Ep    1740 | Rew    1.98 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 9.98 | Steps 6548
Ep    1760 | Rew    2.20 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 9.98 | Steps 6623
Ep    1780 | Rew    2.07 | Win%  95.0 | Len 4.0 | Info 11.18b | Beta 9.98 | Steps 6703
Ep    1800 | Rew    2.23 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 9.98 | Steps 6781
Ep    1820 | Rew    2.13 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 9.98 | Steps 6853
Ep    1840 | Rew    2.15 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 9.98 | Steps 6930
Ep    1860 | Rew    1.95 | Win% 100.0 | Len 3.5 | Info 11.18b | Beta 9.98 | Steps 7001
Ep    1880 | Rew    2.14 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 9.98 | Steps 7074
Ep    1900 | Rew    1.99 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 9.98 | Steps 7151
Ep    1920 | Rew    2.11 | Win% 100.0 | Len 4.2 | Info 11.18b | Beta 9.98 | Steps 7234
Ep    1940 | Rew    2.16 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 9.98 | Steps 7313
Ep    1960 | Rew    2.04 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 9.98 | Steps 7391
Ep    1980 | Rew    2.21 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 9.98 | Steps 7469
Ep    2000 | Rew    2.08 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 9.98 | Steps 7548
Ep    2020 | Rew    2.12 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 9.98 | Steps 7628
Ep    2040 | Rew    2.06 | Win% 100.0 | Len 3.7 | Info 11.18b | Beta 9.98 | Steps 7702
Ep    2060 | Rew    2.10 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 9.98 | Steps 7781
Ep    2080 | Rew    2.08 | Win% 100.0 | Len 3.7 | Info 11.18b | Beta 9.98 | Steps 7855
Ep    2100 | Rew    2.03 | Win% 100.0 | Len 3.7 | Info 11.18b | Beta 9.98 | Steps 7929
Ep    2120 | Rew    1.95 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 9.98 | Steps 8001
Ep    2140 | Rew    2.01 | Win% 100.0 | Len 3.7 | Info 11.18b | Beta 9.98 | Steps 8075
Ep    2160 | Rew    2.03 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 9.98 | Steps 8153
Ep    2180 | Rew    2.09 | Win% 100.0 | Len 4.1 | Info 11.18b | Beta 9.98 | Steps 8235
Ep    2200 | Rew    2.18 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 9.98 | Steps 8307
Ep    2220 | Rew    1.97 | Win% 100.0 | Len 3.4 | Info 11.18b | Beta 9.98 | Steps 8374
Ep    2240 | Rew    2.00 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 9.98 | Steps 8449
Ep    2260 | Rew    1.98 | Win% 100.0 | Len 3.7 | Info 11.18b | Beta 9.98 | Steps 8523
Ep    2280 | Rew    2.12 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 9.98 | Steps 8603
Ep    2300 | Rew    2.14 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 9.98 | Steps 8678
Ep    2320 | Rew    2.10 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 9.97 | Steps 8754
Ep    2340 | Rew    2.00 | Win% 100.0 | Len 3.7 | Info 11.18b | Beta 9.97 | Steps 8828
Ep    2360 | Rew    2.17 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 9.97 | Steps 8908
Ep    2380 | Rew    2.10 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 9.97 | Steps 8985
Ep    2400 | Rew    2.00 | Win%  95.0 | Len 3.6 | Info 11.18b | Beta 9.97 | Steps 9058
Ep    2420 | Rew    2.15 | Win% 100.0 | Len 3.7 | Info 11.18b | Beta 9.97 | Steps 9132
Ep    2440 | Rew    2.05 | Win% 100.0 | Len 3.4 | Info 11.18b | Beta 9.97 | Steps 9200
Ep    2460 | Rew    1.97 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 9.97 | Steps 9273
Ep    2480 | Rew    2.07 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 9.97 | Steps 9351
Ep    2500 | Rew    2.02 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 9.97 | Steps 9427
Ep    2520 | Rew    1.92 | Win% 100.0 | Len 3.4 | Info 11.18b | Beta 9.97 | Steps 9495
Ep    2540 | Rew    2.13 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 9.97 | Steps 9570
Ep    2560 | Rew    2.04 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 9.97 | Steps 9647
Ep    2580 | Rew    2.19 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 9.97 | Steps 9726
Ep    2600 | Rew    2.07 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 9.97 | Steps 9799
Ep    2620 | Rew    2.05 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 9.97 | Steps 9874
Ep    2640 | Rew    2.23 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 9.97 | Steps 9951
Ep    2660 | Rew    2.14 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 9.97 | Steps 10026
Ep    2680 | Rew    2.04 | Win% 100.0 | Len 3.7 | Info 11.18b | Beta 9.97 | Steps 10100
Ep    2700 | Rew    2.23 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 9.97 | Steps 10180
Ep    2720 | Rew    2.08 | Win% 100.0 | Len 3.7 | Info 11.18b | Beta 9.97 | Steps 10254
Ep    2740 | Rew    2.16 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 9.97 | Steps 10334
Ep    2760 | Rew    2.02 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 9.97 | Steps 10412
Ep    2780 | Rew    2.06 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 9.97 | Steps 10490
Ep    2800 | Rew    2.11 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 9.97 | Steps 10566
Ep    2820 | Rew    2.20 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 9.97 | Steps 10646
Ep    2840 | Rew    2.06 | Win% 100.0 | Len 3.5 | Info 11.18b | Beta 9.97 | Steps 10717
Ep    2860 | Rew    2.13 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 9.97 | Steps 10796
Ep    2880 | Rew    2.12 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 9.97 | Steps 10871
Ep    2900 | Rew    2.09 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 9.97 | Steps 10943
Ep    2920 | Rew    2.09 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 9.97 | Steps 11020
Ep    2940 | Rew    1.96 | Win%  95.0 | Len 3.9 | Info 11.18b | Beta 9.97 | Steps 11097
Ep    2960 | Rew    2.00 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 9.97 | Steps 11172
Ep    2980 | Rew    2.19 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 9.97 | Steps 11245
Ep    3000 | Rew    2.09 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 9.96 | Steps 11325

